time_interval_hour,mint_instructions
2022-04-15 14:00:00.000000 UTC,79615
2022-04-15 15:00:00.000000 UTC,100887
2022-04-15 16:00:00.000000 UTC,96997
2022-04-15 17:00:00.000000 UTC,161041
2022-04-15 18:00:00.000000 UTC,184880
2022-04-15 19:00:00.000000 UTC,252313
2022-04-15 20:00:00.000000 UTC,151260
2022-04-15 21:00:00.000000 UTC,68648
2022-04-15 22:00:00.000000 UTC,133958
2022-04-15 23:00:00.000000 UTC,74107
2022-04-16 00:00:00.000000 UTC,104428
2022-04-16 01:00:00.000000 UTC,108051
2022-04-16 02:00:00.000000 UTC,58896
2022-04-16 03:00:00.000000 UTC,97150
2022-04-16 04:00:00.000000 UTC,89146
2022-04-16 05:00:00.000000 UTC,44468
2022-04-16 06:00:00.000000 UTC,74627
2022-04-16 07:00:00.000000 UTC,53283
2022-04-16 08:00:00.000000 UTC,49235
2022-04-16 09:00:00.000000 UTC,57386
2022-04-16 10:00:00.000000 UTC,66801
2022-04-16 11:00:00.000000 UTC,89471
2022-04-16 12:00:00.000000 UTC,93543
2022-04-16 13:00:00.000000 UTC,109966
2022-04-16 14:00:00.000000 UTC,93105
2022-04-16 15:00:00.000000 UTC,124360
2022-04-16 16:00:00.000000 UTC,100710
2022-04-16 17:00:00.000000 UTC,206080
2022-04-16 18:00:00.000000 UTC,205703
2022-04-16 19:00:00.000000 UTC,222629
2022-04-16 20:00:00.000000 UTC,279213
2022-04-16 21:00:00.000000 UTC,296486
2022-04-16 22:00:00.000000 UTC,234322
2022-04-16 23:00:00.000000 UTC,332516
2022-04-17 00:00:00.000000 UTC,269888
2022-04-17 01:00:00.000000 UTC,294685
2022-04-17 02:00:00.000000 UTC,123645
2022-04-17 03:00:00.000000 UTC,76887
2022-04-17 04:00:00.000000 UTC,54136
2022-04-17 05:00:00.000000 UTC,44412
2022-04-17 06:00:00.000000 UTC,45683
2022-04-17 07:00:00.000000 UTC,44784
2022-04-17 08:00:00.000000 UTC,50358
2022-04-17 09:00:00.000000 UTC,57049
2022-04-17 10:00:00.000000 UTC,73425
